dir	file	pearson	spearman
STS/STS12-en-test	MSRpar	0.3789294106633988	0.4153097651098925
STS/STS12-en-test	MSRvid	0.8385754404290839	0.8185397676630612
STS/STS12-en-test	SMTeuroparl	0.49080875024037474	0.5635906831804712
STS/STS12-en-test	surprise.OnWN	0.6690663910754961	0.6102871657799708
STS/STS12-en-test	surprise.SMTnews	0.4836995859081261	0.40196999839782643
STS/STS12-en-test	Avg.	0.5722159156632959	0.5619394760262444

dir	file	pearson	spearman
STS/STS13-en-test	FNWN	0.4355128016379641	0.45396074952312754
STS/STS13-en-test	headlines	0.7133922304566104	0.7074791335083859
STS/STS13-en-test	OnWN	0.8000674317411982	0.7814860102144844
STS/STS13-en-test	Avg.	0.6496574879452576	0.6476419644153326

dir	file	pearson	spearman
STS/STS14-en-test	deft-forum	0.3616995823544445	0.37525553187835237
STS/STS14-en-test	deft-news	0.7155213601168534	0.6577446067403938
STS/STS14-en-test	headlines	0.6617447406929267	0.615895785057077
STS/STS14-en-test	images	0.8218914956386917	0.7695190215530128
STS/STS14-en-test	OnWN	0.8273609687792908	0.8190750973567127
STS/STS14-en-test	tweet-news	0.7062002110546616	0.6389559481749174
STS/STS14-en-test	Avg.	0.6824030597728115	0.646074331793411

dir	file	pearson	spearman
STS/STS15-en-test	answers-forums	0.6690756809006777	0.6807378182852595
STS/STS15-en-test	answers-students	0.7257361083680826	0.7254538094057067
STS/STS15-en-test	belief	0.7035588265647488	0.7143432386858071
STS/STS15-en-test	headlines	0.7272317166014551	0.7184403798546257
STS/STS15-en-test	images	0.8199261565934125	0.8228290675772247
STS/STS15-en-test	Avg.	0.7291056978056754	0.7323608627617247

dir	file	pearson	spearman
STS/STS16-en-test	answer-answer	0.40146781771598783	0.4074798899407985
STS/STS16-en-test	headlines	0.7118517723355798	0.7104370588168131
STS/STS16-en-test	plagiarism	0.794994180655932	0.7989545734592578
STS/STS16-en-test	postediting	0.812845073442056	0.8262575009099776
STS/STS16-en-test	question-question	0.6690996750020375	0.6826935223067754
STS/STS16-en-test	Avg.	0.6780517038303187	0.6851645090867244

dir	file	pearson	spearman
STS/STSBenchmark	sts-train	0.714774147294011	0.6634865179618227
STS/STSBenchmark	sts-dev	0.7634716367485326	0.7628406187595438
STS/STSBenchmark	sts-test	0.6767621120000648	0.6362559095206494
STS/STSBenchmark	Avg.	0.7183359653475362	0.6875276820806718

dir	file	pearson	spearman
SICK	SICK_train	0.7200896978480171	0.5940756741213212
SICK	SICK_trial	0.6913912021543819	0.5785594868025445
SICK	SICK_test_annotated	0.7100161653864683	0.5870450816003402
SICK	Avg.	0.7071656884629558	0.586560080841402

