dir	file	pearson	spearman
STS/STS12-en-test	MSRpar	0.4134512450324525	0.43996863970669225
STS/STS12-en-test	MSRvid	0.8521960692319923	0.8285406061519469
STS/STS12-en-test	SMTeuroparl	0.5272503819199242	0.5990086391933298
STS/STS12-en-test	surprise.OnWN	0.6581386390447898	0.6084657316923396
STS/STS12-en-test	surprise.SMTnews	0.5385212121007512	0.43536441982898116
STS/STS12-en-test	Avg.	0.5979115094659819	0.5822696073146579

dir	file	pearson	spearman
STS/STS13-en-test	FNWN	0.48826499453252026	0.4856687504328285
STS/STS13-en-test	headlines	0.718749473522656	0.7028117412344012
STS/STS13-en-test	OnWN	0.8095834193731773	0.7931795436034815
STS/STS13-en-test	Avg.	0.6721992958094511	0.660553345090237

dir	file	pearson	spearman
STS/STS14-en-test	deft-forum	0.39213711634770004	0.389995892150883
STS/STS14-en-test	deft-news	0.7514198930215665	0.6866583971508196
STS/STS14-en-test	headlines	0.6619290257680446	0.6155086580895899
STS/STS14-en-test	images	0.8315247160202199	0.7855116144849296
STS/STS14-en-test	OnWN	0.83275542554415	0.8203134725126099
STS/STS14-en-test	tweet-news	0.7004639777296396	0.6437474006398555
STS/STS14-en-test	Avg.	0.6950383590718867	0.6569559058381146

dir	file	pearson	spearman
STS/STS15-en-test	answers-forums	0.7026857221411985	0.7148830426467591
STS/STS15-en-test	answers-students	0.7086862460314826	0.7113902579638409
STS/STS15-en-test	belief	0.7179321266167419	0.7329027318178417
STS/STS15-en-test	headlines	0.7301342514217031	0.7176119662072122
STS/STS15-en-test	images	0.8292982787552937	0.8297174094527333
STS/STS15-en-test	Avg.	0.7377473249932839	0.7413010816176774

dir	file	pearson	spearman
STS/STS16-en-test	answer-answer	0.4584309652564469	0.4589726183688377
STS/STS16-en-test	headlines	0.7167956982929202	0.7175322992075099
STS/STS16-en-test	plagiarism	0.8186992043843109	0.8291851827912373
STS/STS16-en-test	postediting	0.820610240102673	0.8351770710456597
STS/STS16-en-test	question-question	0.7056118009394984	0.7086876273912248
STS/STS16-en-test	Avg.	0.7040295817951698	0.7099109597608939

dir	file	pearson	spearman
STS/STSBenchmark	sts-train	0.7308603788281425	0.6800892132402224
STS/STSBenchmark	sts-dev	0.7856470038826183	0.7823529258368455
STS/STSBenchmark	sts-test	0.6985864819505827	0.6626961690486697
STS/STSBenchmark	Avg.	0.7383646215537811	0.7083794360419126

dir	file	pearson	spearman
SICK	SICK_train	0.7315926571492738	0.6015859196076253
SICK	SICK_trial	0.712683418614971	0.6027291699061905
SICK	SICK_test_annotated	0.7194478838209925	0.5922465534277445
SICK	Avg.	0.7212413198617457	0.5988538809805201

